Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,26.910000,27.379999,26.650000,27.370001,24.547882,3104600
2019-02-18,27.230000,28.250000,27.219999,28.170000,25.265392,3370800
2019-02-25,28.469999,28.600000,28.180000,28.350000,25.426834,2381800
2019-03-04,27.889999,27.910000,26.809999,27.049999,24.260876,2393100
2019-03-11,27.150000,27.580000,27.070000,27.450001,24.619633,2060800
2019-03-18,27.450001,27.980000,27.160000,27.280001,24.467159,2443500
2019-03-25,27.139999,27.760000,27.040001,27.170000,24.368502,1938500
2019-04-01,27.700001,28.490000,27.660000,28.450001,25.713093,1733400
2019-04-08,28.200001,28.320000,27.600000,27.910000,25.225037,1908600
2019-04-15,27.910000,28.980000,27.870001,28.879999,26.101725,2037700
2019-04-22,28.430000,28.520000,27.570000,27.980000,25.288303,2180100
2019-04-29,27.959999,28.100000,27.660000,27.959999,25.270227,1694800
2019-05-06,27.530001,27.799999,25.639999,26.090000,23.580124,4806200
2019-05-13,25.580000,25.879999,25.320000,25.629999,23.164375,3180600
2019-05-20,25.600000,25.760000,25.150000,25.440001,22.992653,2169900
2019-05-27,25.320000,25.350000,24.430000,24.610001,22.242500,4047200
2019-06-03,24.639999,26.000000,24.639999,25.580000,23.119188,2696200
2019-06-10,25.600000,26.090000,25.139999,25.340000,22.902275,4803000
2019-06-17,25.580000,26.040001,25.500000,25.840000,23.354176,1927600
2019-06-24,25.969999,25.980000,25.510000,25.840000,23.354176,2055600
2019-07-01,26.290001,26.340000,25.969999,26.160000,23.837797,1290500
2019-07-08,26.150000,26.580000,25.990000,26.480000,24.129387,1749800
2019-07-15,26.559999,26.600000,25.610001,25.879999,23.582649,3691800
2019-07-22,26.030001,26.370001,25.610001,25.750000,23.464190,2358500
2019-07-29,25.600000,25.600000,24.320000,24.459999,22.288700,3154600
2019-08-05,24.299999,24.400000,23.740000,23.940001,21.814865,4559000
2019-08-12,23.850000,23.900000,22.870001,23.320000,21.249899,3981800
2019-08-19,23.420000,23.440001,22.879999,22.900000,20.867182,2800300
2019-08-26,23.420000,23.790001,23.280001,23.660000,21.559719,3167700
2019-09-02,24.020000,25.520000,23.969999,25.219999,22.981237,3753300
2019-09-09,25.400000,27.139999,25.360001,27.100000,24.694351,4678500
2019-09-16,27.000000,27.070000,26.500000,26.680000,24.311638,4027500
2019-09-23,26.400000,26.740000,26.160000,26.260000,23.928921,3264700
2019-09-30,26.040001,26.580000,25.370001,25.950001,23.826258,3707700
2019-10-07,25.549999,26.490000,25.150000,26.330000,24.175156,3115000
2019-10-14,26.240000,26.950001,26.160000,26.690001,24.505697,4057800
2019-10-21,26.639999,27.100000,26.420000,27.049999,24.836231,4964500
2019-10-28,27.180000,27.540001,26.830000,27.469999,25.221861,2401100
2019-11-04,27.570000,28.920000,27.540001,28.910000,26.544010,3037700
2019-11-11,29.080000,29.440001,28.709999,29.000000,26.626644,3288100
2019-11-18,28.910000,28.940001,28.379999,28.540001,26.204292,3636000
2019-11-25,28.950001,28.969999,28.010000,28.120001,25.818666,1723600
2019-12-02,28.230000,29.090000,27.860001,29.010000,26.635828,2777800
2019-12-09,28.840000,29.389999,28.510000,29.219999,26.828640,3420100
2019-12-16,29.309999,29.379999,28.870001,28.910000,26.544010,1785500
2019-12-23,28.690001,28.820000,28.549999,28.580000,26.241016,1061900
2019-12-30,28.330000,28.650000,28.080000,28.129999,26.008711,1695500
2020-01-06,27.719999,28.389999,27.690001,27.719999,25.629633,1827300
2020-01-13,27.820000,28.049999,27.469999,27.780001,25.685106,1927700
2020-01-20,27.650000,27.760000,26.799999,26.889999,24.862221,1954300
2020-01-27,26.559999,26.719999,25.520000,25.600000,23.669502,3586000
2020-02-03,25.860001,27.100000,25.730000,26.490000,24.492384,3370600
2020-02-10,26.709999,27.160000,26.540001,26.780001,24.760517,2288500
2020-02-17,27.090000,27.379999,26.940001,27.049999,25.010153,1599900
2020-02-24,25.950001,26.680000,25.059999,25.660000,23.724976,5916400
2020-03-02,25.549999,26.270000,24.870001,25.070000,23.179468,4767600
2020-03-09,23.450001,24.379999,21.059999,21.980000,20.322485,10524800
2020-03-16,20.260000,21.870001,19.969999,20.740000,19.175993,6798800
2020-03-23,20.510000,23.750000,19.379999,23.090000,21.348780,7356300
2020-03-30,23.059999,23.420000,19.750000,19.860001,18.526655,5624000
2020-04-06,21.090000,22.719999,20.870001,22.330000,20.830826,4676100
2020-04-13,22.139999,22.730000,20.760000,22.629999,21.110682,4677500
2020-04-20,22.420000,22.840000,21.709999,22.730000,21.203968,4370900
2020-04-27,23.450001,24.420000,22.830000,22.940001,21.399868,4470100
2020-05-04,22.600000,23.969999,22.459999,23.969999,22.360718,2395700
2020-05-11,24.059999,24.120001,22.040001,22.940001,21.399868,5625000
2020-05-18,23.500000,24.270000,23.430000,23.610001,22.024887,3806700
2020-05-25,25.420000,27.080000,25.400000,26.049999,24.301073,11083200
2020-06-01,26.000000,28.379999,25.930000,27.980000,26.101496,4013500
2020-06-08,27.980000,28.090000,25.690001,26.410000,24.636902,4049900
2020-06-15,25.620001,27.760000,25.590000,26.750000,24.954077,3338200
2020-06-22,26.809999,27.309999,25.200001,25.330000,23.629412,4896900
2020-06-29,25.480000,26.100000,25.150000,25.830000,24.169502,2504400
2020-07-06,26.219999,26.219999,24.830000,25.280001,23.654861,3152900
2020-07-13,26.100000,26.629999,25.620001,26.230000,24.543787,2893800
2020-07-20,26.100000,26.250000,25.680000,25.730000,24.075932,2480900
2020-07-27,26.049999,26.170000,24.150000,24.350000,22.784643,3479400
2020-08-03,24.620001,26.040001,24.139999,24.670000,23.084076,4282800
2020-08-10,24.780001,26.170000,24.730000,25.430000,23.795218,3355900
2020-08-17,25.840000,25.900000,24.750000,24.930000,23.327360,3479200
2020-08-24,25.000000,25.719999,24.980000,25.709999,24.057217,3160600
2020-08-31,25.600000,26.110001,25.049999,26.010000,24.337933,3562100
2020-09-07,25.299999,25.549999,24.889999,25.049999,23.439648,2776900
2020-09-14,25.320000,25.680000,24.690001,24.719999,23.130859,2820400
2020-09-21,24.250000,24.450001,23.100000,23.440001,21.933147,4470800
2020-09-28,23.500000,24.150000,23.309999,24.120001,22.569433,3091600
2020-10-05,24.410000,24.879999,24.320000,24.379999,22.959644,2502100
2020-10-12,24.190001,24.350000,23.709999,24.240000,22.827801,2032900
2020-10-19,24.459999,24.950001,24.340000,24.790001,23.345760,2334900
2020-10-26,24.559999,24.690001,23.230000,23.620001,22.243919,2863900
2020-11-02,24.260000,26.490000,24.170000,26.360001,24.824291,4140300
2020-11-09,27.950001,28.639999,27.459999,28.209999,26.566513,3490400
2020-11-16,29.250000,29.520000,28.320000,28.780001,27.103302,3540100
2020-11-23,29.200001,29.799999,28.719999,28.750000,27.075052,2445300
2020-11-30,28.100000,30.209999,27.709999,30.180000,28.421741,4346800
2020-12-07,29.910000,30.180000,29.190001,29.340000,27.630678,2426800
2020-12-14,29.379999,29.959999,29.230000,29.750000,28.016792,3106800
2020-12-21,28.760000,29.059999,28.240000,28.559999,26.896118,1980200
2020-12-28,28.309999,28.770000,28.020000,28.250000,26.604179,2017700
2021-01-04,28.000000,28.430000,27.379999,28.180000,26.716999,3349300
2021-01-11,27.879999,28.450001,27.139999,27.400000,25.977493,2783300
2021-01-18,27.370001,28.530001,27.309999,27.590000,26.157631,3734000
2021-01-25,27.270000,27.490000,26.330000,26.480000,25.105257,4277100
2021-02-01,26.610001,28.280001,26.400000,28.190001,26.726480,2439500
2021-02-08,28.590000,29.990000,28.530001,29.160000,27.646122,3596200
2021-02-15,29.049999,29.240000,28.450001,28.490000,27.010906,2750200
2021-02-22,28.250000,28.879999,27.270000,27.670000,26.233479,9758200
2021-03-01,28.299999,29.450001,28.190001,29.389999,27.864182,6023400
2021-03-08,29.360001,30.180000,29.320000,29.770000,28.224455,4361600
2021-03-15,30.209999,31.920000,30.150000,31.850000,30.196468,5471700
2021-03-22,31.020000,31.049999,29.830000,30.450001,28.869152,3719000
2021-03-29,30.240000,30.450001,29.830000,30.070000,28.508877,2044700
2021-04-05,30.190001,30.500000,29.139999,29.680000,28.504204,4627300
2021-04-12,29.719999,30.770000,29.690001,30.670000,29.454985,3418800
2021-04-19,30.900000,30.920000,29.610001,30.430000,29.224493,4028200
2021-04-26,30.570000,30.700001,29.709999,29.820000,28.638659,7350900
2021-05-03,30.020000,31.049999,29.740000,30.930000,29.704685,4555300
2021-05-10,31.500000,31.530001,29.780001,30.250000,29.051622,5237800
2021-05-17,29.730000,31.080000,29.459999,30.980000,29.752703,6049500
2021-05-24,31.080000,31.469999,30.240000,31.260000,30.021612,5301100
2021-05-31,30.900000,33.220001,30.900000,33.200001,31.884754,3995600
2021-06-07,32.959999,33.320000,32.680000,33.139999,31.827137,3492000
2021-06-14,32.700001,33.049999,31.670000,31.709999,30.453785,3477100
2021-06-21,31.150000,32.560001,31.020000,32.470001,31.183680,3175900
2021-06-28,32.610001,32.740002,32.119999,32.330002,31.049225,2948000
2021-07-05,32.290001,32.349998,31.230000,32.040001,30.770714,2484900
2021-07-12,32.189999,32.689999,31.620001,31.650000,30.396162,2529900
2021-07-19,31.330000,31.840000,30.780001,31.440001,30.194483,3064400
